scene_id,seed,band,comb_spacing,pfa,num_training_cells,num_guard_cells,range_resolution_m,max_unambiguous_range_m,range_m,density_per_km2,num_drones,prob_detection,false_alarms_per_frame,false_alarm_fraction,rmse_position_error_m,drone_id,x,y,z,vx,vy,vz,true_range_m,true_azimuth_deg,true_radial_velocity_mps,snr_db,sensing_snr_db,ber,throughput_mbps,detected,position_error_m,range_error_m,azimuth_error_deg
r100_d400_t0,1,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_0,-146.75328080733266,-77.5551617751991,15.911339481728053,0.2193628620932205,1.2572127492620646,0.0,91.17366863029406,175.9379633016395,-0.12948219388829657,36.02535400465158,1.313062309371328,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_1,-107.93605704697376,-121.37549751659385,15.5926850053958,-4.280039900119251,3.643001159311972,0.0,64.23052204185332,-144.25952976498144,1.3409421704058588,53.37348567203293,4.310068441719421,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_2,-70.67455502175989,-92.00116353331057,17.176922571709127,-6.251144723187854,-4.857483343741923,0.0,18.189815847713938,-151.39898751544936,7.1797475508488375,24.218679485874468,74.175022872618,0.0,273.8404452690167,True,1.495176449666823,1.4331235814537706,1.398987515449347
r100_d400_t0,1,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_3,-125.295161147555,-59.887672379275216,13.003564307368709,-0.9525900078060758,-8.559824911143098,0.0,73.43190791681286,160.81386495030182,-1.9118041259950456,20.840231192311794,-inf,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_4,-107.16070775580648,-86.92836465591884,15.687717599091664,-1.409179130533591,5.850928166134772,0.0,51.55912595380268,-176.72404723600053,1.065979095068966,36.85931556218402,60.65301786906027,0.0,273.8404452690167,True,3.18315779109138,1.289049155022191,3.2759527639994492
r100_d400_t0,1,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_0,-146.75328080733266,-77.5551617751991,15.911339481728053,0.2193628620932205,1.2572127492620646,0.0,91.17366863029406,175.9379633016395,-0.12948219388829657,36.02535400465158,1.313062309371328,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_1,-107.93605704697376,-121.37549751659385,15.5926850053958,-4.280039900119251,3.643001159311972,0.0,64.23052204185332,-144.25952976498144,1.3409421704058588,53.37348567203293,4.310068441719421,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_2,-70.67455502175989,-92.00116353331057,17.176922571709127,-6.251144723187854,-4.857483343741923,0.0,18.189815847713938,-151.39898751544936,7.1797475508488375,24.218679485874468,74.175022872618,0.0,273.8404452690167,True,1.495176449666823,1.4331235814537706,1.398987515449347
r100_d400_t0,1,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_3,-125.295161147555,-59.887672379275216,13.003564307368709,-0.9525900078060758,-8.559824911143098,0.0,73.43190791681286,160.81386495030182,-1.9118041259950456,20.840231192311794,-inf,0.0,273.8404452690167,False,,,
r100_d400_t0,1,28,4,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,100,400,5,0.4,39.0,0.9285714285714286,2.486769605193054,mc_uas_4,-107.16070775580648,-86.92836465591884,15.687717599091664,-1.409179130533591,5.850928166134772,0.0,51.55912595380268,-176.72404723600053,1.065979095068966,36.85931556218402,60.65301786906027,0.0,273.8404452690167,True,3.18315779109138,1.289049155022191,3.2759527639994492
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_0,-107.47701438170384,-116.09790058039013,14.05159165426036,1.1258611517098376,2.0794314448183853,0.0,60.79945416083622,-148.05487208269037,-2.0510275330434213,11.423623942960424,3.302922826692847,0.03650279471544715,0.0,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_1,-180.5557668886994,-176.14896820578315,17.676979826868184,1.6919154895884658,5.574579559844709,0.0,155.12739095944534,-143.50518757882548,-4.669901179003814,24.398859779083928,-0.07801717640891216,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_2,-123.9972882705126,-137.81040925537087,16.826926528427002,5.195614264143227,-1.695678418706887,0.0,86.98159737667638,-141.6432784607102,-3.012620359803621,40.16244750342806,3.5829347242067007,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_3,-116.5138489529389,-132.41342516173998,10.892779241219191,0.2644409486990866,8.63503871585589,0.0,77.50214645907592,-141.33883735606418,-5.600543470038755,39.95300408277288,1.4439508180811378,0.0,273.8404452690167,False,,,
r200_d400_t0,2,28,4,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,312.28381041666665,200,400,14,0.0,34.0,1.0,,mc_uas_4,-166.13580278163852,-42.63495183262915,9.176256028784797,-7.391353498120794,5.413505427558301,0.0,117.65050283944815,159.41471487474482,8.822593519554795,16.374440694243013,-inf,0.001206808943089431,273.8404452690167,False,,,
